date,code,name,close_price,high_price,low_price,open_price,yest_close_price,diff,diff_ratio,volume,amount
2001-03-29,000001,sh,2101.658,2111.734,2096.934,2107.224,2106.874,-5.216,-0.2476,15510812,15692846250.0
2001-03-28,000001,sh,2106.874,2112.879,2096.917,2109.755,2107.258,-0.384,-0.0182,15672518,15624801250.0
2001-03-27,000001,sh,2107.258,2107.302,2090.902,2096.502,2089.881,17.377,0.8315,17883714,16466797500.0
2001-03-26,000001,sh,2089.881,2089.987,2052.055,2052.055,2053.539,36.342,1.7697,21154246,15400872500.0
2001-03-23,000001,sh,2053.539,2093.949,2052.555,2091.176,2087.532,-33.993,-1.6284,24221622,19344248750.0
2001-03-22,000001,sh,2087.532,2087.532,2068.142,2071.202,2066.39,21.142,1.0231,23619556,18593021250.0
2001-03-21,000001,sh,2066.39,2066.391,2046.434,2047.633,2045.793,20.597,1.0068,19606416,14004242500.0
2001-03-20,000001,sh,2045.793,2045.941,2037.174,2039.554,2036.617,9.176,0.4506,12438004,11823416250.0
2001-03-19,000001,sh,2036.617,2036.63,2017.491,2019.851,2020.236,16.381,0.8108,13918484,12101587500.0
2001-03-16,000001,sh,2020.236,2024.28,2011.992,2023.029,2022.601,-2.365,-0.1169,12309716,10720437500.0
2001-03-15,000001,sh,2022.601,2027.333,2017.588,2019.725,2018.616,3.985,0.1974,13727997,11939290000.0
2001-03-14,000001,sh,2018.616,2018.619,1994.944,1996.152,1998.699,19.917,0.9965,10675446,9352683130.0
2001-03-13,000001,sh,1998.699,2012.772,1992.171,2012.155,2012.552,-13.853,-0.6883,13787212,10923838750.0
2001-03-12,000001,sh,2012.552,2015.597,2004.964,2013.312,2011.66,0.892,0.0443,12319635,10871811250.0
2001-03-09,000001,sh,2011.66,2015.503,1999.478,2003.205,2000.9,10.76,0.5378,15653669,13225850000.0
2001-03-08,000001,sh,2000.9,2002.252,1989.869,1990.637,1991.177,9.723,0.4883,11474609,9397703750.0
2001-03-07,000001,sh,1991.177,1996.853,1986.044,1991.276,1990.06,1.117,0.0561,13890054,10693875000.0
2001-03-06,000001,sh,1990.06,1990.06,1977.111,1986.732,1984.2,5.86,0.2953,20872240,14487168750.0
2001-03-05,000001,sh,1984.2,1993.805,1979.654,1991.28,1985.111,-0.911,-0.0459,10719359,7948026880.0
2001-03-02,000001,sh,1985.111,1987.389,1968.961,1969.056,1965.121,19.99,1.0172,15163578,9045783130.0
2001-03-01,000001,sh,1965.121,1968.357,1953.721,1959.009,1959.18,5.941,0.3032,11667369,8403775630.0
2001-02-28,000001,sh,1959.18,1965.021,1950.931,1964.356,1962.042,-2.862,-0.1459,6141354,6860471880.0
2001-02-27,000001,sh,1962.042,1962.284,1946.98,1956.272,1954.693,7.349,0.376,7398594,6875915630.0
